variant,metric,value
full_model,attention_geology_pearson_r,0.8703202441493691
full_model,attention_geology_pearson_p,5.559393337980027e-06
full_model,attention_geology_spearman_r,0.752450980392157
full_model,attention_geology_spearman_p,0.0004921108243565306
full_model,morans_i_mean,0.3002279678789413
full_model,morans_i_std,0.017440768519946716
full_model,component_cv_mean,0.014253537718425779
full_model,component_cv_std,0.0007227130233523105
full_model,degree_control_pearson_r_mean,-0.4559751917249383
full_model,degree_control_pearson_r_std,0.008397090980901181
geometry_only,attention_geology_pearson_r,0.0
geometry_only,attention_geology_pearson_p,1.0
geometry_only,morans_i_mean,0.19618912190295865
geometry_only,morans_i_std,0.0
geometry_only,component_cv_mean,0.03228674829006195
geometry_only,component_cv_std,0.0
