X,Y,Z,Vp,Vs,ro,E,Vp_Vs,Pr
-24,-10,-10,4397.38,2529.14,2552.151376,40905319542,1.738685877,0.252845805
-23,-10,-10,4359.94,2524.86,2543.56422,40463301829,1.726804655,0.247711022
-22,-10,-10,4314.2,2515.7,2533.073394,39833950050,1.714910363,0.242389882
-21,-10,-10,4266.1,2504.8,2522.041284,39145410452,1.703169914,0.236951167
-20,-10,-10,4221.6,2492.3,2511.834862,38459911964,1.69385708,0.232498988
-19,-10,-10,4183.12,2479.14,2503.009174,37822733442,1.687327057,0.229301382
-18,-10,-10,4156.24,2469.7,2496.844037,37375532153,1.682892659,0.227093259
-17,-10,-10,4139.4,2463.42,2492.981651,37089401757,1.680346835,0.225811876
-16,-10,-10,4131.8,2460.16,2491.238532,36952275034,1.679484261,0.225375429
-15,-10,-10,4134.22,2460.94,2491.793578,36990841062,1.679935309,0.225603796
-14,-10,-10,4145.88,2463.92,2494.46789,37161487699,1.6826358,0.226964431
-13,-10,-10,4167.3,2468.12,2499.380734,37449786713,1.688451129,0.229856363
-12,-10,-10,4198.76,2472.7,2506.59633,37840290601,1.69804667,0.234517385
-11,-10,-10,4239.48,2477.64,2515.93578,38322428396,1.711096043,0.240643678
-10,-10,-10,4289.24,2483.5,2527.348624,38902890607,1.727094826,0.24783854
-9,-10,-10,4341.48,2488.66,2539.330275,39484532939,1.744505075,0.255297558
-8,-10,-10,4391.68,2492.06,2550.844037,40001385392,1.762268966,0.262537081
-7,-10,-10,4434.1,2493.3,2560.573394,40393647965,1.778406128,0.268810541
-6,-10,-10,4461.6,2492.4,2566.880734,40603273163,1.790081849,0.273180193
-5,-10,-10,4475.9,2489.62,2570.16055,40654449737,1.797824568,0.276003043
-4,-10,-10,4479.24,2486.1,2570.926606,40596018442,1.801713527,0.277399023
-3,-10,-10,4477.1,2482.12,2570.43578,40481279443,1.803740351,0.278120877
-2,-10,-10,4475.32,2478.44,2570.027523,40376846760,1.80570036,0.278815261
