chainage_m,y_m,z_m,radial_distance_m,Vp_m_per_s,Vs_m_per_s,density_g_cm3,poisson_ratio,dynamic_E_index,low_velocity_anomaly_score_q,geological_zone_label
1017160.0,-10.0,0.0,10.0,5103.0,2959.5,2.545,0.193,55.6,0.0,background
1017160.0,-9.0,-4.0,9.848857801796104,5088.7,2926.2,2.563,0.192,55.0,0.0,background
1017160.0,-9.0,-3.0,9.486832980505138,5013.5,2826.9,2.56,0.176,51.8,0.0,background
1017160.0,-9.0,-2.0,9.219544457292887,5152.2,2916.3,2.564,0.197,55.1,0.0,background
1017160.0,-9.0,-1.0,9.055385138137417,5097.2,2852.3,2.573,0.183,53.3,0.0,background
1017160.0,-9.0,0.0,9.0,4930.8,2843.2,2.543,0.184,51.4,0.0,background
1017160.0,-9.0,1.0,9.055385138137417,4999.7,2777.4,2.586,0.179,50.9,0.0,background
1017160.0,-9.0,2.0,9.219544457292887,5237.7,2992.0,2.549,0.203,57.4,0.0,background
1017160.0,-9.0,3.0,9.486832980505138,5054.0,2918.8,2.566,0.186,54.7,0.0,background
1017160.0,-9.0,4.0,9.848857801796104,5262.7,3024.9,2.602,0.199,59.7,0.0,background
1017160.0,-8.0,-6.0,10.0,4775.3,2705.3,2.522,0.202,46.6,0.0137,background
1017160.0,-8.0,-5.0,9.433981132056603,5066.3,2896.4,2.549,0.199,53.8,0.0,background
1017160.0,-8.0,-4.0,8.94427190999916,5050.3,2915.9,2.654,0.204,56.4,0.0,background
1017160.0,-8.0,-3.0,8.54400374531753,5098.9,2857.1,2.525,0.183,52.4,0.0,background
1017160.0,-8.0,-2.0,8.246211251235321,4983.2,2953.0,2.568,0.196,55.1,0.0,background
1017160.0,-8.0,-1.0,8.06225774829855,5108.4,2878.1,2.546,0.18,53.5,0.0,background
1017160.0,-8.0,0.0,8.0,4996.9,2798.1,2.577,0.196,51.3,0.0,background
1017160.0,-8.0,1.0,8.06225774829855,4973.3,2869.4,2.56,0.186,52.7,0.0,background
1017160.0,-8.0,2.0,8.246211251235321,5173.2,2968.4,2.572,0.213,56.9,0.0,background
1017160.0,-8.0,3.0,8.54400374531753,5063.1,2942.9,2.582,0.194,55.7,0.0,background
1017160.0,-8.0,4.0,8.94427190999916,5053.8,2853.3,2.601,0.2,53.6,0.0,background
1017160.0,-8.0,5.0,9.433981132056603,5129.2,2947.0,2.561,0.198,55.8,0.0,background
1017160.0,-8.0,6.0,10.0,4944.6,2733.7,2.532,0.192,48.4,0.0,background
1017160.0,-7.0,-7.0,9.899494936611665,5155.7,2979.6,2.541,0.192,56.4,0.0,background
1017160.0,-7.0,-6.0,9.219544457292887,5246.7,2993.1,2.542,0.177,57.3,0.0,background
1017160.0,-7.0,-5.0,8.602325267042627,5084.0,2895.7,2.596,0.188,54.8,0.0,background
1017160.0,-7.0,-4.0,8.06225774829855,4957.3,2786.8,2.518,0.186,49.6,0.0,background
1017160.0,-7.0,-3.0,7.615773105863909,5024.2,2850.1,2.539,0.204,52.1,0.0,background
1017160.0,-7.0,-2.0,7.280109889280518,5135.4,2929.1,2.576,0.193,55.6,0.0,background
1017160.0,-7.0,-1.0,7.0710678118654755,4938.5,2814.9,2.496,0.192,49.8,0.0,background
1017160.0,-7.0,0.0,7.0,5167.8,2930.1,2.639,0.183,57.2,0.0,background
1017160.0,-7.0,1.0,7.0710678118654755,5155.6,2932.3,2.551,0.18,55.3,0.0,background
1017160.0,-7.0,2.0,7.280109889280518,5026.5,2793.8,2.61,0.177,52.0,0.0,background
1017160.0,-7.0,3.0,7.615773105863909,5199.6,2973.9,2.586,0.195,57.5,0.0,background
1017160.0,-7.0,4.0,8.06225774829855,5040.9,2856.8,2.55,0.194,52.6,0.0,background
1017160.0,-7.0,5.0,8.602325267042627,5322.9,3033.0,2.589,0.185,60.0,0.0,background
1017160.0,-7.0,6.0,9.219544457292887,5094.7,2934.8,2.547,0.175,54.9,0.0,background
1017160.0,-7.0,7.0,9.899494936611665,5111.1,2932.9,2.523,0.2,54.4,0.0,background
1017160.0,-6.0,-8.0,10.0,5228.8,2990.6,2.55,0.185,57.3,0.0,background
1017160.0,-6.0,-7.0,9.219544457292887,4942.2,2850.1,2.533,0.182,51.5,0.0,background
1017160.0,-6.0,-6.0,8.48528137423857,5042.3,2940.0,2.554,0.209,54.9,0.0,background
1017160.0,-6.0,-5.0,7.810249675906654,5107.0,2916.3,2.569,0.211,55.0,0.0,background
1017160.0,-6.0,-4.0,7.211102550927978,4901.9,2744.9,2.501,0.189,47.9,0.0,background
1017160.0,-6.0,-3.0,6.708203932499369,5152.0,2932.8,2.557,0.187,55.4,0.0,background
1017160.0,-6.0,-2.0,6.324555320336759,5172.9,2974.6,2.591,0.19,57.5,0.0,background
1017160.0,-6.0,-1.0,6.082762530298219,5251.3,2967.0,2.608,0.188,58.1,0.0,background
1017160.0,-6.0,0.0,6.0,5246.4,2994.9,2.622,0.198,59.2,0.0,background
1017160.0,-6.0,1.0,6.082762530298219,4995.7,2885.0,2.49,0.206,51.8,0.0,background
1017160.0,-6.0,2.0,6.324555320336759,5094.1,2890.1,2.533,0.199,53.4,0.0,background
1017160.0,-6.0,3.0,6.708203932499369,5224.7,2976.1,2.57,0.17,57.4,0.0,background
1017160.0,-6.0,4.0,7.211102550927978,5017.6,2884.5,2.576,0.191,53.7,0.0,background
1017160.0,-6.0,5.0,7.810249675906654,5149.0,2927.0,2.523,0.187,54.5,0.0,background
1017160.0,-6.0,6.0,8.48528137423857,4953.4,2785.1,2.582,0.169,50.8,0.0,background
1017160.0,-6.0,7.0,9.219544457292887,5112.3,2949.5,2.542,0.176,55.3,0.0,background
1017160.0,-6.0,8.0,10.0,4929.2,2849.0,2.537,0.187,51.5,0.0,background
1017160.0,-5.0,-8.0,9.433981132056603,5049.1,2902.1,2.577,0.168,54.4,0.0,background
1017160.0,-5.0,-7.0,8.602325267042627,5088.3,2930.7,2.603,0.186,56.0,0.0,background
1017160.0,-5.0,-6.0,7.810249675906654,5016.6,2844.2,2.522,0.182,51.5,0.0,background
1017160.0,-5.0,-5.0,7.0710678118654755,5215.2,2953.2,2.587,0.187,57.0,0.0,background
1017160.0,-5.0,-4.0,6.4031242374328485,5186.1,2920.9,2.57,0.184,55.6,0.0,background
1017160.0,-5.0,-3.0,5.830951894845301,4874.5,2750.8,2.568,0.189,49.2,0.0,background
1017160.0,-5.0,-2.0,5.385164807134504,5068.5,2926.9,2.615,0.187,56.0,0.0,background
1017160.0,-5.0,-1.0,5.0990195135927845,5050.9,2925.4,2.568,0.187,54.8,0.0,background
1017160.0,-5.0,0.0,5.0,5047.6,2842.3,2.559,0.186,52.4,0.0,background
1017160.0,-5.0,1.0,5.0990195135927845,5065.2,2817.0,2.553,0.181,51.7,0.0,background
1017160.0,-5.0,2.0,5.385164807134504,5021.9,2848.7,2.528,0.177,51.8,0.0,background
1017160.0,-5.0,3.0,5.830951894845301,5270.0,3115.6,2.579,0.189,61.6,0.0,background
1017160.0,-5.0,4.0,6.4031242374328485,5251.2,3099.6,2.558,0.196,60.6,0.0,background
